Percentage, Train, Learning, Momentum, Batch, Hidden, Centered, Normalized
0.04658119658119652, 0.5324215233666348, 4e-10, 0.5868267725055983, 136, 128, 1, 1
0.8196721311475414, 0.6357761747036225, 0.0004, 0.39566869245923425, 191, 246, 1, 1
0.8774509803921564, 0.8984444695683942, 2e-05, 0.8683601459459784, 236, 102, 0, 0
0.9278409090909104, 0.6484746366912898, 0.04, 0.7646938796554508, 83, 82, 1, 1
0.6656716417910449, 0.8672705671216177, 2e-05, 0.8895861309555533, 188, 133, 1, 1
0.9353211009174327, 0.564770241263916, 0.01, 0.5860985219789066, 157, 190, 1, 1
0.8518987341772144, 0.8433317270934311, 1e-06, 0.48979827179687785, 24, 149, 1, 0
0.12033898305084745, 0.883091532608433, 3.0000000000000004e-09, 0.8737660080729328, 142, 296, 0, 1
0.6913398692810452, 0.6944172394485437, 1e-07, 0.8990282496337691, 63, 89, 0, 0
0.9472826086956533, 0.6325539454737849, 0.01, 0.5498210618903147, 147, 185, 1, 0
0.10384615384615378, 0.6360293310159247, 0.9, 0.8135311649082526, 178, 58, 1, 0
0.12857142857142845, 0.8051814271727548, 2e-08, 0.34470017708656164, 204, 343, 1, 1
0.9337142857142867, 0.6500685843226084, 0.005, 0.7464572996706773, 208, 81, 1, 0
0.7243004418262148, 0.8067542336559623, 0.00030000000000000003, 0.3530139191880129, 221, 55, 1, 1
0.9060869565217394, 0.7717144015944107, 0.0008, 0.6002169873071859, 195, 129, 1, 1
0.07046783625730986, 0.6593473888574481, 4e-09, 0.3320665910066422, 197, 326, 0, 0
0.09279661016949153, 0.5281826163325392, 0.08, 0.32345195347346883, 75, 318, 1, 0
0.13934426229508204, 0.6357304070456032, 8e-09, 0.7726996640311065, 217, 245, 0, 0
0.8516129032258077, 0.5675909111365054, 4e-05, 0.6678106095973795, 35, 347, 0, 1
0.08212765957446806, 0.5311158769631323, 7.000000000000001e-10, 0.8299853839609115, 130, 86, 1, 1
0.10390804597701138, 0.7108326679909399, 0.8, 0.5498544483471234, 61, 250, 0, 0
0.057142857142857134, 0.8199328422559551, 1e-09, 0.7971436505529086, 247, 305, 0, 0
0.08697478991596633, 0.5248822898962198, 7e-08, 0.7308258482207646, 39, 308, 1, 1
0.133974358974359, 0.6897614344628201, 5e-08, 0.7518935615626015, 52, 304, 0, 1
0.1491017964071857, 0.6677837689414098, 8e-07, 0.4872962621392306, 161, 159, 1, 1
0.9006711409395982, 0.7033732071021491, 0.0006000000000000001, 0.7448262623249311, 157, 176, 1, 0
0.125563909774436, 0.7358209220177161, 7.000000000000001e-09, 0.8234051189653993, 104, 202, 0, 1
0.14017094017094017, 0.636293289140947, 5e-08, 0.46319884613290563, 151, 158, 0, 1
0.0945736434108526, 0.7434441123357914, 0.4, 0.3732363590322837, 155, 200, 0, 0
0.9297169811320767, 0.5760692749665105, 0.07, 0.7420790393168859, 55, 78, 0, 1
0.8580952380952381, 0.7916098475885139, 0.0006000000000000001, 0.3445952371182831, 203, 208, 1, 1
0.13915343915343922, 0.5802425978422572, 3.0000000000000004e-09, 0.8713622993683798, 92, 291, 0, 0
0.09171270718232033, 0.6397398886505119, 7e-08, 0.47252510328587016, 213, 114, 0, 1
0.9202702702702715, 0.6304690259267499, 0.004, 0.7460851173387487, 34, 233, 0, 1
0.8156028368794328, 0.7195318235686153, 1e-05, 0.32409975230214005, 216, 66, 0, 0
0.10079999999999989, 0.7513868057212314, 1e-06, 0.716704590127555, 250, 333, 1, 1
0.14909909909909932, 0.5576265927293439, 3e-06, 0.5516452628275047, 93, 50, 0, 1
0.9436090225563906, 0.8487106672016818, 0.008, 0.7912997924505119, 18, 249, 1, 1
0.6644163150492265, 0.8422470270382552, 0.0001, 0.36915544368728825, 214, 94, 0, 1
0.07230352303523023, 0.5903047284798592, 5e-10, 0.6172397721575307, 218, 82, 1, 0
0.10442477876106186, 0.7750928725026969, 0.2, 0.7172999737081649, 23, 234, 0, 0
0.9037500000000008, 0.6813302134289752, 0.0006000000000000001, 0.7035121112564968, 124, 264, 0, 0
0.08223684210526304, 0.6978492400662502, 7.000000000000001e-10, 0.36714952199292905, 256, 107, 0, 0
0.11900584795321639, 0.5455461170617876, 9e-10, 0.5534566455053515, 193, 147, 1, 0
0.09234972677595614, 0.6348370749920942, 8e-10, 0.8595283760463766, 174, 268, 0, 1
0.8639333760410008, 0.5546184606991543, 7.000000000000001e-05, 0.48292567305392065, 21, 206, 0, 1
0.10233644859813082, 0.5732883750950467, 2e-10, 0.8079990827017696, 191, 59, 1, 0
0.08947368421052626, 0.8112495629434924, 0.06, 0.8533929629996311, 106, 88, 1, 0
0.10315789473684207, 0.6215440581668643, 0.08, 0.44433902231514216, 188, 104, 1, 0
0.08269230769230763, 0.7937336648964521, 0.007, 0.8877459251695505, 98, 238, 1, 0
0.0705128205128204, 0.6112649170590474, 7.000000000000001e-10, 0.7988731412287888, 94, 277, 1, 0
0.0853333333333333, 0.8504427602901712, 0.2, 0.49077825700681343, 235, 258, 0, 0
0.09946808510638289, 0.6246336711316198, 0.6000000000000001, 0.724644718053814, 183, 75, 0, 0
0.8760000000000014, 0.550191009929039, 8e-05, 0.38153514588630383, 63, 206, 0, 0
0.9185185185185183, 0.8936184547713937, 0.06, 0.4585709905764301, 200, 202, 1, 1
0.1067796610169491, 0.8824150030882342, 7e-07, 0.8833752563667885, 82, 83, 0, 1
0.11785714285714285, 0.8889197177347303, 8e-10, 0.7501124095048372, 41, 243, 0, 0
0.14666666666666664, 0.7011089776436793, 2e-08, 0.618239114897124, 137, 92, 1, 1
0.10628571428571419, 0.6518497821401341, 0.8, 0.3874720396192973, 162, 331, 1, 0
0.07881355932203384, 0.7659723081040954, 6.000000000000001e-08, 0.5578503485123792, 61, 130, 0, 1
0.9294117647058834, 0.660404141052735, 0.01, 0.7208612800975512, 79, 255, 1, 1
0.8919191919191913, 0.8694434320378689, 0.0009000000000000001, 0.5788107355549408, 207, 147, 0, 1
0.9235322658903459, 0.5422010211861561, 0.05, 0.8555919257375888, 121, 296, 1, 1
0.9010709504685405, 0.8342663109435355, 0.0009000000000000001, 0.538535028868526, 191, 237, 0, 1
0.8190283400809729, 0.5076202562609861, 0.00030000000000000003, 0.3897096838490661, 184, 298, 0, 1
0.10851063829787227, 0.8125461671131089, 3.0000000000000004e-09, 0.5190064306055785, 250, 263, 0, 1
0.9258706467661706, 0.5992947600776719, 0.01, 0.7756029565226563, 241, 126, 1, 1
0.061538461538461535, 0.8441916561164076, 3.0000000000000004e-08, 0.5154552501451257, 60, 202, 0, 1
0.8925925925925923, 0.8921520623868233, 2e-05, 0.5889777834344776, 169, 271, 0, 0
0.08158995815899575, 0.5225230132582003, 5e-10, 0.8133154180734015, 215, 173, 0, 1
0.8891891891891898, 0.7055492785367596, 0.001, 0.3568857174063505, 192, 141, 1, 1
0.9072072072072075, 0.7799470264283993, 7.000000000000001e-05, 0.5817529576304705, 32, 213, 1, 0
0.9085085085085105, 0.5563137094185957, 0.007, 0.7555635255153098, 148, 154, 0, 1
0.06269841269841264, 0.7495780339280156, 8e-08, 0.8423378265091559, 167, 190, 1, 1
0.257429718875502, 0.6682502252999534, 1e-05, 0.7515216916078395, 189, 57, 1, 1
0.9380952380952381, 0.8335993452621702, 0.01, 0.5759754206703123, 43, 290, 0, 1
0.6422962962962964, 0.7003009170688465, 6e-07, 0.5079376791896333, 144, 268, 0, 0
0.09199999999999992, 0.6007473496416101, 0.02, 0.6705176862370613, 227, 175, 0, 0
0.856190476190476, 0.7906041916785691, 5e-05, 0.3650742873929, 252, 67, 1, 0
0.8691056910569104, 0.8375389436405369, 3.0000000000000004e-05, 0.34120015571709905, 192, 265, 1, 0
0.05566502463054187, 0.8267323390552879, 4e-10, 0.6508798999649399, 26, 162, 0, 1
0.9103092783505156, 0.8068605206533515, 0.001, 0.7154575258293518, 256, 253, 0, 1
0.14594594594594587, 0.705738182350979, 9e-07, 0.5079168832612339, 28, 298, 0, 1
0.7414723365340651, 0.514317218194062, 0.005, 0.5358809141415196, 29, 184, 0, 0
